id,code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
9521,AAA,NTGA,Anaa Airport,-17.3506654,-145.51111994065877,36,,Pacific/Tahiti,AAA,PF,,,,AP
9522,AAB,YARY,Arrabury Airport,-26.6967835,141.049092,328,,Australia/Brisbane,AAB,AU,,Queensland,Barcoo Shire,AP
9523,AAC,HEAR,El Arish International Airport,31.0742836,33.829171518733695,85,,Africa/Cairo,AAC,EG,El Arish,Muhafazat Shamal Sina',,AP
9524,AAD,HCAD,Adado Airport,6.09628635,46.637708371259194,980,,Africa/Khartoum,AAD,SO,Adado,,,AP
9525,AAE,DABB,Annaba Rabah Bitat Airport,36.821392,7.811857,36,,Africa/Algiers,AAE,DZ,Annaba,Annaba,,AP
9526,AAF,KAAF,Apalachicola Regional Airport,29.7302356,-85.02964472072705,19,,America/New_York,AAF,US,Apalachicola,Florida,Franklin County,AP
9527,AAG,SSYA,Avelino Vieira Airport,-24.1037812,-49.78949435424242,2608,,America/Sao_Paulo,AAG,BR,Arapoti,Parana,Jaguariaiva,AP
9528,AAH,EDKA,Aachen-MerzbrÃ¼ck Airport,50.75,6.133333,754,https://www.flugplatz-aachen.de,Europe/Berlin,AAH,DE,Aachen,,,AP
9529,AAI,SWRA,Arraias Airport,-12.916667,-46.933334,2490,,America/Araguaina,AAI,BR,Arraias,Goias,Campos Belos,AP
9530,AAJ,SMCA,Cayana Airstrip,3.8987445,-55.5779688,278,,America/Paramaribo,AAJ,SR,Awaradam,Sipaliwini,Boven Suriname,AP
9531,AAK,NGUK,Aranuka Airport,"0.166667",173.58333,"0",,Pacific/Tarawa,AAK,KI,Buariki,,,AP
9532,AAL,EKYT,Aalborg Airport,57.0864352,9.868075521300991,19,http://www.aal.dk,Europe/Copenhagen,AAL,DK,Aalborg,North Denmark,Alborg Kommune,AP
9533,AAM,FAMD,Malamala Airport,-24.8,31.533333,1082,,Africa/Johannesburg,AAM,ZA,Malamala,,,AP
9534,AAN,OMAL,Al Ain International Airport,24.260231,55.616627,830,,Asia/Dubai,AAN,AE,Al Ain,,,AP
9535,AAO,SVAN,Anaco Airport,9.4298739,-64.47086334549915,692,,America/Caracas,AAO,VE,Anaco,Anzoategui,Municipio Anaco,AP
9536,AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,29.833332,-95.666664,154,http://www.proyek.dishubprovkaltim.info/?pro=1,America/Chicago,HOU,US,Samarinda,,,AP
9537,AAQ,URKA,Anapa Vityazevo Airport,45.00265265,37.34498313723325,137,http://basel.aero/en/anapa/,Europe/Moscow,AAQ,RU,Anapa,Krasnodarskiy,,AP
9538,AAR,EKAH,Aarhus Airport,56.304542549999994,10.612849817576597,45,http://www.aar.dk/default.asp?id=87,Europe/Copenhagen,AAR,DK,Aarhus,Central Jutland,Syddjurs Kommune,AP
9539,AAS,,Apalapsili Airport,-3.880849,139.3107060627146,3005,,Asia/Jayapura,AAS,ID,Apalapsili,,,AP
9540,AAT,ZWAT,Altay Xuedu Airport,47.74833705,88.08948249042332,2408,,Asia/Urumqi,AAT,CN,Altay,Xinjiang Uygur Zizhiqu,,AP
9541,AAU,NSAU,Asau Airport,-13.458333,-172.6,"0",,Pacific/Apia,AAU,WS,Asau,Vaisigano,,AP
9542,AAV,RPMA,Allah Valley Airport,6.36768745,124.75266160348093,629,,Asia/Manila,AAV,PH,Surallah,South Cotabato,,AP
9543,AAW,OPAB,Abbottabad,34.2,73.25,4061,,Asia/Karachi,AAW,PK,Abbottabad,Khyber Pakhtunkhwa,,AP
9544,AAX,SBAX,Romeu Zema Airport,-19.563132000000003,-46.96040575380038,3267,,America/Sao_Paulo,AAX,BR,AraxÃ¡,Minas Gerais,Araxa,AP
9545,AAY,OYGD,Al Ghaydah International Airport,16.1879658,52.17271501755243,114,,Asia/Aden,AAY,YE,Al Ghayzah,Al Mahrah,Al Ghaydah,AP
9546,AAZ,MGQZ,Quezaltenango Airport,14.8611558,-91.5067713438188,7795,,America/Guatemala,AAZ,GT,Quezaltenango,Quetzaltenango,,AP
9547,ABA,UNAA,Abakan International Airport,53.716667,91.5,807,,Asia/Krasnoyarsk,ABA,RU,Abakan,Khakasiya,,AP
9548,ABB,DNAS,Asaba International Airport,6.20565465,6.663854565066257,216,,Africa/Lagos,ABB,NG,Asaba,,,AP
9549,ABC,LEAB,Albacete Airport / Los Llanos Air Base,38.948334,-1.863333,2276,http://www.aena.es/csee/Satellite?cid=1046767815090&pagename=subHome&Language=EN_GB&SiteName=LEAB&c=Page,Europe/Madrid,ABC,ES,Albacete,,,AP
9550,ABD,OIAA,Abadan Airport,30.3668469,48.228439506236356,26,,Asia/Tehran,ABD,IR,Abadan,Khuzestan,,AP
9551,ABE,KABE,Lehigh Valley International Airport,40.651163100000005,-75.44225386838299,374,,America/New_York,ABE,US,Allentown,Pennsylvania,Lehigh County,AP
9552,ABF,NGAB,Abaiang Airport,1.670833,173.30417,"0",,Pacific/Tarawa,ABF,KI,Abaiang,Gilbert Islands,Tarawa,AP
9553,ABG,YABI,Abingdon Downs Airport,-17.666668,143.2,600,,Australia/Brisbane,ABG,AU,,,,AP
9554,ABH,YAPH,Alpha Airport,-23.65,146.63333,1190,,Australia/Brisbane,ABH,AU,Alpha,,,AP
9555,ABI,KABI,Abilene Regional Airport,32.407743749999995,-99.67936992920886,1791,,America/Chicago,ABI,US,Abilene,,,AP
9556,ABJ,DIAP,FÃ©lix-HouphouÃ«t-Boigny International Airport,5.264928299999999,-3.925957338659794,42,,Africa/Abidjan,ABJ,CI,Abidjan,Lagunes,,AP
9557,ABK,HAKD,Kebri Dahar Airport,6.733889,44.26611,1738,,Africa/Addis_Ababa,ABK,ET,Kabri Dehar,,,AP
9558,ABL,PAFM,Ambler Airport,67.1058333,-157.8536111,190,,America/Anchorage,ABL,US,Ambler,,,AP
9559,ABM,YNPE,Northern Peninsula Airport,-10.942619,142.45033,98,http://www.nparc.qld.gov.au/airport,Australia/Brisbane,ABM,AU,Bamaga,,,AP
9560,ABN,SMBN,Albina Airport,5.5,-54.083332,108,,America/Paramaribo,ABN,SR,Albina,,,AP
9561,ABO,DIAO,Aboisso Airport,5.433333,-3.216667,95,,Africa/Abidjan,ABO,CI,Aboisso,Sud-Comoe,,AP
9562,ABP,,Atkamba Airport,-6.0647021500000005,141.09521515526734,36,,Pacific/Port_Moresby,ABP,PG,Atkamba Mission,,,AP
9563,ABQ,KABQ,Albuquerque International Sunport,35.037669449999996,-106.61096752176844,5308,http://www.abqsunport.com/,America/Denver,ABQ,US,Albuquerque,New Mexico,Bernalillo County,AP
9564,ABR,KABR,Aberdeen Regional Airport,45.4525,-98.42611,1289,,America/Chicago,ABR,US,Aberdeen,South Dakota,Brown County,AP
9565,ABS,HEBL,Abu Simbel Airport,22.372228200000002,31.61302768093995,511,,Africa/Cairo,ABS,EG,Abu Simbel,,,AP
9566,ABT,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,20.296139,41.634277,5446,,Asia/Riyadh,ABT,SA,Al Bahah,Mintaqat al Bahah,,AP
9567,ABU,WATA,AA Bere Tallo (Haliwen) Airport,-9.133333,124.88333,1250,,Asia/Makassar,ABU,ID,Atambua-Timor Island,East Nusa Tenggara,,AP
9568,ABV,DNAA,Nnamdi Azikiwe International Airport,9.00668065,7.265007350650086,1092,http://www.faannigeria.org/nigeria-airport.php?airport=3,Africa/Lagos,ABV,NG,Abuja,Abuja Federal Capital Territory,,AP
9569,ABW,,Abau,-10.183333,148.7,"0",,Pacific/Port_Moresby,ABW,PG,,,,AP
9570,ABX,YMAY,Albury Airport,-36.06894285,146.95187679604823,544,,Australia/Sydney,ABX,AU,Albury,New South Wales,Albury Municipality,AP
9571,ABY,KABY,Southwest Georgia Regional Airport,31.5339678,-84.19254493414799,213,,America/New_York,ABY,US,Albany,,,AP
9572,ABZ,EGPD,Aberdeen Dyce Airport,57.20195485,-2.2019913504766446,167,http://www.aberdeenairport.com/,Europe/London,ABZ,GB,Aberdeen,Scotland,Aberdeen City,AP
9573,ACA,MMAA,Aeropuerto Internacional Juan N. Ãlvarez,16.756593600000002,-99.75293698229589,22,,America/Mexico_City,ACA,MX,Acapulco,Guerrero,Acapulco de Juarez,AP
9574,ACB,KACB,Antrim County Airport,44.98832545,-85.19719629581977,659,,America/Detroit,ACB,US,Bellaire,Michigan,Antrim County,AP
9575,ACC,DGAA,Kotoka International Airport,5.60428935,-0.167967625794569,196,,Africa/Accra,ACC,GH,Accra,Greater Accra,,AP
9576,ACD,SKAD,Alcides FernÃ¡ndez Airport,8.516667,-77.3,72,,America/Bogota,ACD,CO,AcandÃ­,,,AP
9577,ACE,GCRR,CÃ©sar Manrique-Lanzarote Airport,28.94568045,-13.60758816051166,42,http://www.aena.es/en/lanzarote-airport/index.html,Atlantic/Canary,ACE,ES,Lanzarote Island,Canary Islands,Provincia de Las Palmas,AP
9578,ACF,ZWAL,Aral Tarim Airport,40.464167,81.246944,3323,,Asia/Urumqi,ACF,CN,Brisbane,Xinjian Autonomous Region,,AP
9579,ACH,LSZR,Sankt Gallen Altenrhein Airport,47.4859603,9.5598603,1272,,Europe/Zurich,ACH,CH,Altenrhein,Saint Gallen,Wahlkreis Rheintal,AP
9580,ACI,EGJA,Alderney Airport,49.70694185,-2.214498597174802,298,,Europe/Guernsey,ACI,GB,Saint Anne,Lower Normandy,Departement de la Manche,AP
9581,ACJ,VCCA,Anuradhapura Airport,8.35,80.38333,265,,Asia/Colombo,ACJ,LK,Anuradhapura,North Central,,AP
9582,ACK,KACK,Nantucket Memorial Airport,41.256350600000005,-70.0642270361515,45,,America/New_York,ACK,US,Nantucket,Massachusetts,Nantucket County,AP
9583,ACL,,Aguaclara,4.7470509,-72.9919234,1036,,America/Bogota,ACL,CO,Aguaclara,Casanare,,AP
9584,ACM,,Arica Airport,"-2.0",-71.833336,557,,America/Bogota,ACM,CO,Arica,Loreto,Mariscal Ramon Castilla,AP
9585,ACN,MMCC,Ciudad AcuÃ±a New International Airport,29.3,-100.916664,944,,America/Matamoros,ACN,MX,Ciudad AcuÃ±a,,,AP
9586,ACO,MRAF,CÃ³bano Airport,9.693365,-85.091216,495,https://www.cobanoairport.com/en/,America/Costa_Rica,ACO,CR,Cobano,Puntarenas Province,,AP
9587,ACP,OITM,Sahand Airport,37.347790399999994,46.12410489796737,4340,,Asia/Tehran,ACP,IR,Maragheh,East Azerbaijan,,AP
9588,ACR,SKAC,Araracuara Airport,-0.383333,-72.3,482,,America/Bogota,ACR,CO,Araracuara,,,AP
9589,ACS,UNKS,Achinsk Airport,56.270123999999996,90.57983018239561,974,,Asia/Krasnoyarsk,ACS,RU,Achinsk,Krasnoyarskiy,,AP
9590,ACT,KACT,Waco Regional Airport,31.609133,-97.22321,498,,America/Chicago,ACT,US,Waco,Texas,McLennan County,AP
9591,ACU,,Achutupu Airport,9.576389,-79.72444,"0",,America/Panama,ACU,PA,Achutupo,Colon,Distrito Portobelo,AP
9592,ACV,KACV,California Redwood Coast-Humboldt County Airport,40.9763645,-124.10842589937442,147,,America/Los_Angeles,ACV,US,Arcata/Eureka,California,Humboldt County,AP
9593,ACX,ZUYI,Xingyi Wanfenglin Airport,25.083970700000002,104.95880288018984,4133,,Asia/Shanghai,ACX,CN,Xingyi,Guangxi Zhuangzu Zizhiqu,,AP
9594,ACY,KACY,Atlantic City International Airport,39.45708535,-74.57027649092205,55,https://www.sjta.com/acairport/,America/New_York,AIY,US,Atlantic City,New Jersey,Atlantic County,AP
9595,ACZ,OIZB,Zabol Airport,31.097024750000003,61.54236908127046,1574,,Asia/Tehran,ACZ,IR,Zabol,Sistan and Baluchestan,,AP
9596,ADA,LTAF,Adana ÅžakirpaÅŸa Airport,36.98503,35.29736,45,,Europe/Istanbul,ADA,TR,Adana,Adana,,AP
9597,ADB,LTBJ,Adnan Menderes International Airport,38.289593249999996,27.15881973653169,337,http://www.adnanmenderesairport.com,Europe/Istanbul,IZM,TR,Ä°zmir,,,AP
9598,ADC,AYAN,Andakombe Airport,-7.1371023000000005,145.74531004892887,3631,,Pacific/Port_Moresby,ADC,PG,Andekombe,,,AP
9599,ADD,HAAB,Addis Ababa Bole International Airport,8.97958075,38.79727968929066,7601,http://www.ethiopianairports.com,Africa/Addis_Ababa,ADD,ET,Addis Ababa,Adis Abeba,,AP
9600,ADE,OYAA,Aden International Airport,12.826116,45.037537,32,,Asia/Aden,ADE,YE,Aden,Aden,Khur Maksar,AP
9601,ADF,LTCP,AdÄ±yaman Airport,37.75,38.266666,2083,,Europe/Istanbul,ADF,TR,AdÄ±yaman,Adiyaman,,AP
9602,ADG,KADG,Lenawee County Airport,41.9,-84.03333,800,,America/Detroit,ADG,US,Adrian,Michigan,Lenawee County,AP
9603,ADH,UEEA,Aldan Airport,58.6034931,125.40446306539265,2250,,Asia/Yakutsk,ADH,RU,Aldan,Sakha,,AP
9604,ADI,FYAR,Arandis Airport,-22.4,"15.0",2043,,Africa/Windhoek,ADI,NA,Arandis,Erongo,,AP
9605,ADJ,OJAM,Amman Civil (Marka International) Airport,31.97342425,35.994612548528934,2454,,Asia/Amman,AMM,JO,Amman,Amman,,AP
9606,ADK,PADK,Adak Airport,51.88278,-176.64473,29,,America/Adak,ADK,US,Adak Island,,,AP
9607,ADL,YPAD,Adelaide International Airport,-34.947240449999995,138.5330688373241,26,,Australia/Adelaide,ADL,AU,Adelaide,South Australia,City of West Torrens,AP
9608,ADM,KADM,Ardmore Municipal Airport,34.3028,-97.0192,711,,America/Chicago,ADM,US,Ardmore,Oklahoma,Carter County,AP
9609,ADN,SKAN,Andes,5.666667,-75.933334,6056,,America/Bogota,ADN,CO,Andes,Antioquia,,AP
9610,ADO,YAMK,Andamooka Airport,-31.016666,137.15,442,,Australia/Adelaide,ADO,AU,Roxby Downs,,,AP
9611,ADP,VCCG,Ampara Airport,7.338524700000001,81.62522424646704,144,,Asia/Colombo,ADP,LK,Ampara,,,AP
9612,ADQ,PADQ,Kodiak Airport,57.755276,-152.51297,45,,America/Anchorage,ADQ,US,Kodiak,,,AP
9613,ADR,KPHH,Robert F Swinnie Airport,33.45,-79.566666,42,,America/New_York,ADR,US,Andrews,South Carolina,Williamsburg County,AP
9614,ADS,KADS,Addison Airport,32.783333,-97.3,521,,America/Chicago,DFW,US,Dallas,Texas,Tarrant County,AP
9615,ADT,KADH,Ada Regional Airport,34.80490015,-96.66761600367232,977,,America/Chicago,ADT,US,Ada,Oklahoma,Pontotoc County,AP
9616,ADU,OITL,Ardabil Airport,38.32367895,48.41727862641293,4324,,Asia/Tehran,ADU,IR,Ardabil,Ardabil,,AP
9617,ADV,,El Daein Airport,11.4043102,26.1186495,1522,,Africa/Khartoum,ADV,SD,El Daein,Eastern Darfur,,AP
9618,ADW,KADW,Joint Base Andrews,38.8057469,-76.87741646487015,255,http://www.jba.af.mil/,America/New_York,ADW,US,Camp Springs,Maryland,Prince George's County,AP
9619,ADX,EGQL,Leuchars Station Airfield,56.375599050000005,-2.8596339552168737,19,,Europe/London,ADX,GB,St. Andrews,Scotland,Fife,AP
9620,ADY,FAAL,Alldays Airport,-22.67767555,29.053395555022227,2683,,Africa/Johannesburg,ADY,ZA,Alldays,,,AP
9621,ADZ,SKSP,Gustavo Rojas Pinilla International Airport,12.586047,-81.70221,39,,America/Bogota,ADZ,CO,San AndrÃ©s,"Archipielago de San Andres, Providencia y Santa Catalina",,AP
9622,AEA,NGTB,Abemama Airport,"0.490833",173.8289948,36,,Pacific/Tarawa,AEA,KI,Abemama Atoll,,,AP
9623,AEB,ZGBS,Baise Youjiang Airport,23.72020895,106.9609714096124,452,,Asia/Shanghai,AEB,CN,Baise,Guangxi Zhuangzu Zizhiqu,,AP
9624,AED,,Aleneva,58.033333,-152.9,1099,,America/Anchorage,AED,US,,,,AP
9625,AEE,,Adareil Airport,10.052439199999998,32.962007213556745,1246,,Africa/Juba,AEE,SS,,,,AP
9626,AEG,WIME,Aek Godang Airport,1.3999603999999999,99.42983272544998,925,,Asia/Jakarta,AEG,ID,Padang Sidempuan-Sumatra Island,North Sumatra,,AP
9627,AEH,FTTC,Abeche Airport,13.8465726,20.849645040165157,1778,,Africa/Ndjamena,AEH,TD,AbÃ©chÃ©,Ouaddai,,AP
9628,AEI,,Algeciras,36.1289,-5.441301,42,,Europe/Madrid,AEI,ES,Algeciras,Andalusia,Provincia de Cadiz,AP
9629,AEK,AYAX,Aseki Airport,-7.366667,146.28334,3694,,Pacific/Port_Moresby,AEK,PG,Aseki,,,AP
9630,AEL,KAEL,Albert Lea Municipal Airport,43.6800949,-93.36737639309429,1250,,America/Chicago,AEL,US,Albert Lea,Minnesota,Freeborn County,AP
9631,AEM,UHTG,Amgu Airport,45.8414555,137.67364088576272,22,,Asia/Vladivostok,AEM,RU,Amgu,,,AP
9632,AEO,GQNA,Aioun el Atrouss Airport,16.71068715,-9.638219081447929,964,,Africa/Nouakchott,AEO,MR,Aioun El Atrouss,,,AP
9633,AEP,SABE,Jorge Newbery Airpark,-34.55622,-58.41667,42,,America/Argentina/Buenos_Aires,BUE,AR,Buenos Aires,Buenos Aires F.D.,,AP
9634,AEQ,,Ar Horqin Airport,43.90797955,120.14934798559226,1400,,Asia/Shanghai,AEQ,CN,Chifeng,Inner Mongolia,,AP
9635,AER,URSS,Sochi International Airport,43.44397145,39.94009276010438,39,http://basel.aero/en/sochi/,Europe/Moscow,AER,RU,Sochi,Krasnodarskiy,,AP
9636,AES,ENAL,"Ã…lesund Airport, Vigra",62.56018535,6.113415709021158,49,http://www.avinor.no/lufthavn/alesund,Europe/Oslo,AES,NO,Ã…lesund,More og Romsdal,Giske,AP
9637,AET,PFAL,Allakaket Airport,66.55193399999999,-152.62144819086524,439,,America/Anchorage,AET,US,Allakaket,,,AP
9638,AEU,OIBA,Abu Musa Island Airport,25.875993649999998,55.034265964970395,16,,Asia/Tehran,AEU,IR,Abu Musa,,,AP
9639,AEX,KAEX,Alexandria International Airport,31.329273649999998,-92.54095486627727,65,,America/Chicago,AEX,US,Alexandria,Louisiana,Rapides Parish,AP
9640,AEY,BIAR,Akureyri Airport,65.65698725,-18.070607134573716,39,,Atlantic/Reykjavik,AEY,IS,Akureyri,Northeast,,AP
9641,AFA,SAMR,Suboficial Ay Santiago Germano Airport,-34.58917,-68.40056,2454,,America/Argentina/Mendoza,AFA,AR,San Rafael,Mendoza,,AP
9642,AFD,FAPA,Port Alfred Airport,-33.583332,26.883333,118,,Africa/Johannesburg,AFD,ZA,Port Alfred,,,AP
9643,AFF,KAFF,USAF Academy Airfield,38.833332,-104.7,6266,,America/Denver,COS,US,Colorado Springs,Colorado,El Paso County,AP
9644,AFI,SKAM,Amalfi Airport,6.8953157,-75.0467996,4855,,America/Bogota,AFI,CO,Amalfi,Antioquia,,AP
9645,AFK,,Kondavattavana Tank Seaplane Base,7.342169543255904,81.62931220557938,131,,Asia/Colombo,ADP,LK,Ampara,,,AP
9646,AFL,SBAT,Piloto Osvaldo Marques Dias Airport,-9.866163,-56.10603812089458,790,,America/Cuiaba,AFL,BR,Alta Floresta,,,AP
9647,AFN,KAFN,Jaffrey Airfield Silver Ranch Airport,42.833332,-72.066666,1122,http://silverranchairpark.com/,America/New_York,AFN,US,Jaffrey,New Hampshire,Cheshire County,AP
9648,AFO,KAFO,Afton Municipal Airport,42.733334,-110.933334,6230,http://www.aftonairpark.com/,America/Denver,AFO,US,Afton,Wyoming,Lincoln County,AP
9649,AFR,AYAF,Afore Airstrip,-9.138344750000002,148.39097141857889,2385,,Pacific/Port_Moresby,AFR,PG,Popondetta,,,AP
9650,AFS,UTSN,Sugraly Airport,41.6155248,64.23177140418719,1338,,Asia/Samarkand,AFS,UZ,Zarafshan,Navoiy,,AP
9651,AFT,AGAF,Afutara Aerodrome,-9.2,160.85,"0",,Pacific/Guadalcanal,AFT,SB,Bila,,,AP
9652,AFW,KAFW,Perot Field/Fort Worth Alliance Airport,32.992997849999995,-97.31836461280574,643,http://www.allianceairport.com/,America/Chicago,DFW,US,Fort Worth,Texas,Tarrant County,AP
9653,AFY,LTAH,Afyon Air Base,38.733334,30.6,3316,,Europe/Istanbul,AFY,TR,Afyonkarahisar,Afyonkarahisar,,AP
9654,AFZ,OIMS,Sabzevar National Airport,36.171675,57.59941595852304,3011,,Asia/Tehran,AFZ,IR,Sabzevar,Razavi Khorasan,,AP
9655,AGA,GMAD,Al Massira Airport,30.378326,-9.555895,62,,Africa/Casablanca,AGA,MA,Agadir,Souss-Massa-Draa,Inezgane-Ait Mellou,AP
9656,AGB,EDMA,Augsburg Airport,48.425278,10.931667,1492,https://www.augsburg-airport.de/,Europe/Berlin,MUC,DE,Augsburg,Bavaria,Swabia,AP
9657,AGC,KAGC,Allegheny County Airport,40.3534454,-79.92904654320128,1250,,America/New_York,PIT,US,Pittsburgh,Pennsylvania,Allegheny County,AP
9658,AGD,WASG,Anggi Airport,-1.383333,133.86667,6627,,Asia/Jayapura,AGD,ID,Anggi-Papua Island,West Papua,,AP
9659,AGE,EDWG,Wangerooge Airport,53.783333,7.916667,22,,Europe/Berlin,AGE,DE,Wangerooge,Lower Saxony,,AP
9660,AGF,LFBA,Agen-La Garenne Airport,44.17361,"0.598611",167,,Europe/Paris,AGF,FR,Agen/La Garenne,Aquitaine,Departement du Lot-et-Garonne,AP
9661,AGG,,Angoram Airport,-4.168611,144.07388,19,,Pacific/Port_Moresby,AGG,PG,Angoram,,,AP
9662,AGH,ESTA,Ã„ngelholm-Helsingborg Airport,56.297234599999996,12.852846835898422,36,http://www.lfv.se/templates/LFV_AirportStartPage____4777.aspx,Europe/Stockholm,AGH,SE,Ã„ngelholm,,,AP
9663,AGI,SMWA,Wageningen Airstrip,5.833333,-56.833332,19,,America/Paramaribo,AGI,SR,Wageningen,Nickerie,,AP
9664,AGJ,RORA,Aguni Airport,26.59300295,127.23985985060742,32,,Asia/Tokyo,AGJ,JP,Aguni,,,AP
9665,AGK,,Kagua Airport,-6.403333,143.84666,5554,,Pacific/Port_Moresby,AGK,PG,Kagua,,,AP
9666,AGL,AYWG,Wanigela Airport,-9.33738355,149.15610272068812,29,,Pacific/Port_Moresby,AGL,PG,,,,AP
9667,AGM,,Tasiilaq Heliport,65.6,-37.683334,534,,America/Godthab,AGM,GL,,,,AP
9668,AGN,PAGN,Angoon Seaplane Base,57.503887,-134.58333,"0",,America/Juneau,AGN,US,,,,AP
9669,AGO,KAGO,Magnolia Municipal Airport / Ralph C Weiser Field,33.266666,-93.23333,314,,America/Chicago,AGO,US,Magnolia,Arkansas,Columbia County,AP
9670,AGP,LEMG,MÃ¡laga-Costa del Sol Airport,36.67876135,-4.499980126161259,52,,Europe/Madrid,AGP,ES,MÃ¡laga,,,AP
9671,AGQ,LGAG,Agrinion,38.6137021,21.3929834,101,,Europe/Athens,AGQ,GR,Dhokimion,West Greece,Nomos Aitolias kai Akarnanias,AP
9672,AGR,VIAG,Agra Airport / Agra Air Force Station,27.158333,77.962776,574,,Asia/Kolkata,AGR,IN,Agra,Uttar Pradesh,Agra,AP
9673,AGS,KAGS,Augusta Regional At Bush Field,33.37230205,-81.9650639098103,101,,America/New_York,AGS,US,Augusta,,,AP
9674,AGT,SGES,Aeropuerto Internacional GuaranÃ­,-25.5,-54.833332,810,,America/Asuncion,AGT,PY,Ciudad del Este,Alto Parana,,AP
9675,AGU,MMAS,Aeropuerto Internacional JesÃºs TerÃ¡n Peredo,21.701416,-102.31374,6118,https://www.aeropuertosgap.com.mx/es/aguascalientes.html,America/Mexico_City,AGU,MX,Aguascalientes,Aguascalientes,Aguascalientes,AP
9676,AGV,SVAC,Oswaldo Guevara Mujica Airport,9.552222,-69.23333,711,,America/Caracas,AGV,VE,Acarigua,Portuguesa,Municipio Araure,AP
9677,AGW,,Agnew Airport,-12.1453511,142.1490609,200,,Australia/Brisbane,AGW,AU,Agnew,,,AP
9678,AGX,VOAT,Agatti Airport,10.828967,72.17987,26,,Asia/Kolkata,AGX,IN,Kavaratti,Laccadives,Lakshadweep,AP
9679,AGZ,FAAG,Aggeneys Airport,-29.05,18.85,2818,,Africa/Johannesburg,AGZ,ZA,Aggeneys,Northern Cape,Namakwa District Municipality,AP
9680,AHA,,Naha AFB,26.2,127.65,32,,Asia/Tokyo,OKA,JP,,,,AP
9681,AHB,OEAB,Abha International Airport,18.23429,42.657574,6876,,Asia/Riyadh,AHB,SA,Abha,,,AP
9682,AHC,KAHC,Amedee Army Air Field,40.15,-120.13333,4055,,America/Los_Angeles,AHC,US,Herlong,California,Lassen County,AP
9683,AHD,,Ardmore Downtown Executive Airport,34.166668,-97.13333,902,,America/Chicago,ADM,US,Ardmore,Oklahoma,Carter County,AP
9684,AHE,NTHE,Ahe Airport,-14.4280996,-146.2570038,32,http://www.sia.aviation-civile.gouv.fr/aip/enligne/PDF_AIPparSSection/AIP%20PAC-P/AD/2/0703_AD%202.NTHE.pdf,Pacific/Tahiti,AHE,PF,Ahe Atoll,,,AP
9685,AHF,,Arapahoe Municipal Airport,40.3,-99.9,2152,,America/Chicago,AHF,US,Arapahoe,Nebraska,Furnas County,AP
9686,AHH,KAHH,Amery Municipal Airport,45.3,-92.35,1089,,America/Chicago,AHH,US,Amery,Wisconsin,Polk County,AP
9687,AHI,WAPA,Amahai Airport,-3.3478518499999996,128.92746328743664,59,,Asia/Jayapura,AHI,ID,Amahai-Seram Island,Maluku,,AP
9688,AHJ,ZUHY,Hongyuan Airport,32.536783299999996,102.35022953452355,11591,,Asia/Shanghai,AHJ,CN,Aba,Sichuan,,AP
9689,AHL,SYAH,Aishalton Airport,2.4755665000000002,-59.31944770153805,521,,America/Guyana,AHL,GY,Aishalton,,,AP
9690,AHM,KS03,Ashland Municipal Airport Sumner Parker Field,42.19029999,-122.6610031,1827,,America/Los_Angeles,AHM,US,Ashland,Oregon,Jackson County,AP
9691,AHN,KAHN,Athens Ben Epps Airport,33.9487053,-83.32973997812988,767,,America/New_York,AHN,US,Athens,Georgia,Clarke County,AP
9692,AHO,LIEA,Alghero-Fertilia Airport,40.63087935,8.288375274221512,62,http://www.aeroportodialghero.it/home_en.asp,Europe/Rome,AHO,IT,Alghero,Sardinia,Provincia di Sassari,AP
9693,AHS,MHAH,Ahuas Airport,15.4819002,-84.4160995,32,,America/Tegucigalpa,AHS,HN,Ahuas,Gracias a Dios,,AP
9694,AHU,GMTA,Cherif Al Idrissi Airport,35.17972,-3.836944,42,,Africa/Casablanca,AHU,MA,Al Hoceima,Taza-Al Hoceima-Taounate,,AP
9695,AHW,,Saih Rawl,31.34292,48.74668,55,,Asia/Tehran,AHW,OM,,,,AP
9696,AHY,,Ambatolhy Airport,-20.0153265,45.5375864,314,,Indian/Antananarivo,AHY,MG,Ambatolahy,,,AP
9697,AHZ,LFHU,Altiport L'Alpe d'Huez - Henri GIRAUD,45.0870881,6.082792927954502,6023,,Europe/Paris,AHZ,FR,L'Alpe d'Huez,Rhone-Alpes,Departement de l'Isere,AP
9698,AIA,KAIA,Alliance Municipal Airport,42.051666,-102.80666,3904,,America/Denver,AIA,US,Alliance,Nebraska,Box Butte County,AP
9699,AIC,,Ailinglaplap Airok Airport,7.5,170.83333,16,,Pacific/Majuro,AIC,MH,Bigatyelang Island,,,AP
9700,AID,KAID,Anderson Municipal Darlington Field,40.166668,-85.683334,882,,America/Indiana/Indianapolis,AID,US,Anderson,Indiana,Madison County,AP
9701,AIE,AYAO,Aiome Airport,-5.166667,144.66667,4478,,Pacific/Port_Moresby,AIE,PG,Aiome,,,AP
9702,AIF,SNAX,Marcelo Pires Halzhausen Airport,-22.666668,-50.416668,1804,,America/Sao_Paulo,AIF,BR,Assis,Sao Paulo,Assis,AP
